date,call_wall,large_gamma_1,large_gamma_2,large_gamma_3,large_gamma_4,vol_trigger,zero_gamma,put_wall,combo_1,combo_2,combo_3,combo_4
20260624,5502.7,4402.2,4072.0,3961.9,3851.9,4402.2,4292.1,3961.9,3851.9,3906.9,3961.9,4072.0
20260625,4374.2,4374.2,4046.1,3936.8,3827.4,4414.6,4299.8,3936.8,3827.4,3882.1,3936.8,4046.1
20260626,4395.3,4395.3,4065.6,3955.8,3845.9,4405.2,4255.7,3955.8,3845.9,3900.8,3955.8,4065.6
20260629,4300.0,4200.0,4150.0,4100.0,4000.0,4304.0,4254.0,4000.0,,,,
20260630,4300.0,4400.0,4300.0,4150.0,4000.0,4360.0,4252.0,4000.0,,,,
20260701,4300.0,4300.0,4200.0,4150.0,4000.0,4394.0,4234.0,4000.0,,,,
20260702,4300.0,4250.0,4200.0,4150.0,4000.0,4328.0,4198.0,4000.0,,,,
20260706,4300.0,4400.0,4300.0,4200.0,4150.0,4218.0,4154.0,4000.0,,,,
20260707,4300.0,4300.0,4250.0,4200.0,4150.0,4191.0,4127.0,4000.0,,,,
20260708,4300.0,4300.0,4150.0,4100.0,4000.0,4171.0,4131.0,4000.0,,,,
20260709,4150.0,4250.0,4150.0,4100.0,4000.0,4213.0,4153.0,4000.0,,,,
20260710,4150.0,4250.0,4200.0,4150.0,4000.0,4210.0,4150.0,4000.0,,,,
20260713,4150.0,4200.0,4150.0,4100.0,4000.0,4146.0,4104.0,4000.0,,,,
20260714,4150.0,4200.0,4150.0,4100.0,4000.0,4188.0,4144.0,4000.0,,,,
20260715,4150.0,4150.0,4100.0,4050.0,4000.0,4086.0,4056.0,4000.0,,,,
20260716,4150.0,4000.0,4150.0,4100.0,4200.0,,,4000.0,,,,
20260717,4150.0,4000.0,4150.0,4100.0,3900.0,,,3600.0,,,,
20260720,4150.0,4000.0,4150.0,4100.0,4050.0,,,4000.0,,,,
20260721,4150.0,4000.0,4150.0,4100.0,4050.0,,,4000.0,,,,
20260722,4150.0,4150.0,4100.0,4200.0,4000.0,,,4000.0,,,,
20260723,4150.0,4150.0,4000.0,4100.0,4200.0,,,4000.0,,,,
20260724,4100.0,4000.0,4150.0,4100.0,4050.0,,,4000.0,,,,
20260727,4150.0,4100.0,4150.0,4000.0,4050.0,,,4000.0,,,,
20260728,,,,,,,,,,,,
20260729,,,,,,,,,,,,
20260730,4500.0,4500.0,4510.0,4600.0,4300.0,,,3900.0,,,,
20260731,4500.0,4500.0,4600.0,4300.0,4510.0,,,3900.0,,,,
20260803,4500.0,4500.0,4510.0,4300.0,3900.0,,,3900.0,,,,
20260804,4500.0,4500.0,4510.0,4600.0,4300.0,,,3900.0,,,,
20260805,4500.0,4500.0,4510.0,4600.0,4300.0,,,3900.0,,,,
20260806,4500.0,4500.0,4510.0,4600.0,4300.0,,,3900.0,,,,
20260807,4500.0,4500.0,4510.0,4600.0,4700.0,,,3900.0,,,,
20260810,4500.0,4500.0,4600.0,4510.0,4700.0,,,3900.0,,,,
20260811,4500.0,4500.0,4510.0,4600.0,4300.0,,,4000.0,,,,
20260812,4500.0,4500.0,4600.0,5000.0,4510.0,,,4000.0,,,,
20260813,4500.0,4500.0,4600.0,4510.0,4700.0,,,4000.0,,,,
20260814,4500.0,4500.0,4600.0,4510.0,4300.0,,,3900.0,,,,
20260817,4500.0,4500.0,4600.0,4510.0,4800.0,,,4000.0,,,,
