date,call_wall,large_gamma_1,large_gamma_3,zero_gamma,put_wall
20260625,30321.0,28111.0,27511.0,30124.7,27911.0
20260626,30518.0,27718.0,26318.0,29351.1,26318.0
20260629,29779.5,29879.5,29779.5,29824.5,27879.5
20260630,30391.5,30391.5,30161.5,29835.5,27861.5
20260701,30644.4,30644.4,30374.4,30138.4,28094.4
20260702,30335.9,30345.9,29625.9,30018.9,27025.9
20260706,29996.8,29996.8,29786.8,29952.8,27946.8
20260707,29896.1,29906.1,29336.1,29625.1,29336.1
20260708,29394.5,29394.5,28704.5,29141.5,28704.5
20260709,29908.2,29908.2,29698.2,29553.2,27248.2
20260710,29939.2,30089.2,29889.2,29613.2,26889.2
20260713,29910.6,29810.6,29710.6,29581.6,28250.6
20260714,29668.4,29968.4,29588.4,29721.4,27568.4
20260715,29921.2,29921.2,29871.2,29949.2,27321.2
20260716,29748.4,29748.4,29548.4,29443.4,27448.4
20260717,28819.7,28719.7,28919.7,28862.7,26719.7
20260720,29101.8,29071.8,29101.8,29187.8,27271.8
20260721,29656.8,29166.8,29216.8,29370.8,26366.8
20260722,29382.6,29382.6,29112.6,29045.6,26612.6
20260723,29340.9,29340.9,29065.9,29024.9,26965.9
